#type	timestamp	serial	sender	destination	path	interface	member
#					in_reply_to
sig	1787915154.678589	54	:1.5	<none>	/org/a11y/atspi/accessible/232	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.678662	55	:1.5	<none>	/org/a11y/atspi/accessible/233	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.678666	56	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.695100	57	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.695116	58	:1.5	<none>	/org/a11y/atspi/accessible/233	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.711825	59	:1.5	<none>	/org/a11y/atspi/accessible/233	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.712024	60	:1.5	<none>	/org/a11y/atspi/accessible/234	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.712068	61	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.728055	62	:1.5	<none>	/org/a11y/atspi/accessible/234	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.728071	63	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.728073	64	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.728075	65	:1.5	<none>	/org/a11y/atspi/accessible/234	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.728077	66	:1.5	<none>	/org/a11y/atspi/accessible/234	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.728079	67	:1.5	<none>	/org/a11y/atspi/accessible/234	org.a11y.atspi.Event.Object	StateChanged
sig	1787915154.880491	68	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.880523	69	:1.5	<none>	/org/a11y/atspi/accessible/236	org.a11y.atspi.Event.Object	TextChanged
sig	1787915154.880526	70	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915154.880528	71	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.032865	72	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.032918	73	:1.5	<none>	/org/a11y/atspi/accessible/237	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.032922	74	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.032924	75	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.185546	76	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.185602	77	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.185606	78	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.185632	79	:1.5	<none>	/org/a11y/atspi/accessible/238	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.185701	80	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.185713	81	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.337747	82	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.337772	83	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	ChildrenChanged
sig	1787915155.337783	84	:1.5	<none>	/org/a11y/atspi/accessible/235	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.337928	85	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.345613	86	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.345641	87	:1.5	<none>	/org/a11y/atspi/accessible/229	org.a11y.atspi.Event.Object	StateChanged
sig	1787915155.345644	88	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	StateChanged
sig	1787915155.497865	89	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.511366	90	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.511386	91	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.529247	92	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.529266	93	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.545063	94	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.545079	95	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.562994	96	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextChanged
sig	1787915155.563013	97	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.563016	98	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.578978	99	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextSelectionChanged
sig	1787915155.579004	100	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.579008	101	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
sig	1787915155.596021	102	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextSelectionChanged
sig	1787915155.596045	103	:1.5	<none>	/org/a11y/atspi/accessible/227	org.a11y.atspi.Event.Object	TextCaretMoved
sig	1787915155.596173	104	:1.5	<none>	/org/a11y/atspi/accessible/230	org.a11y.atspi.Event.Object	PropertyChange
